,Q3A,Q5A,Q10A,Q13A,Q16A,Q17A,Q21A,Q24A,Q26A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q42A,scores
199,2,4,4,3,3,3,3,4,3,4,4,4,3,4,3,3,4,3,4,4,69
200,4,4,2,4,3,3,3,3,3,2,2,3,2,3,4,2,2,3,3,3,58
201,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,23
202,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80
203,3,2,3,3,2,4,4,2,4,1,2,2,1,4,1,1,4,4,1,2,50
204,2,4,2,2,2,2,1,3,3,1,3,1,3,2,1,1,2,2,1,4,42
205,1,3,2,3,2,2,1,1,2,3,2,3,3,2,4,1,1,1,3,3,43
206,4,3,3,3,4,4,4,3,3,2,2,2,3,3,2,2,3,4,4,3,61
207,2,2,3,2,2,2,2,1,1,1,1,2,3,2,2,1,2,2,2,2,37
208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,22
209,1,2,1,2,3,4,1,2,2,3,3,1,1,2,3,1,4,1,3,1,41
210,2,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,3,4,46
211,2,2,2,3,2,2,2,2,3,1,1,2,3,2,2,1,2,2,4,2,42
212,1,2,2,2,2,2,1,1,2,1,2,2,3,2,2,2,1,1,2,4,37
213,1,1,1,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,25
214,2,2,2,2,2,2,2,2,3,2,2,1,3,2,2,2,2,2,2,2,41
215,4,4,4,3,4,3,2,4,3,2,3,2,3,2,1,2,4,2,3,4,59
216,2,3,2,3,3,3,3,2,3,1,2,2,4,2,4,1,3,2,4,3,52
217,2,3,2,3,3,2,3,3,2,2,3,3,2,2,3,1,3,2,3,3,50
218,1,3,1,1,1,1,1,1,2,1,1,3,1,1,2,1,1,1,3,2,29
219,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,3,2,1,2,40
220,3,3,4,4,3,4,4,2,4,3,2,1,4,4,1,2,4,4,2,4,62
221,1,3,3,4,3,2,4,4,4,3,2,3,4,3,4,2,4,3,4,3,63
222,4,4,4,4,4,1,4,4,4,1,4,1,4,1,1,4,4,4,4,4,65
223,2,2,2,3,3,4,2,2,3,3,2,2,2,3,3,3,3,3,3,2,52
224,4,1,3,4,2,4,4,3,4,1,2,1,2,4,2,1,2,4,4,1,53
225,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,78
226,3,3,4,4,3,4,4,4,4,4,3,4,2,4,4,3,4,4,4,3,72
227,1,1,1,1,2,1,1,1,1,1,1,3,2,1,1,1,1,1,2,2,26
228,1,4,1,2,1,3,1,3,2,1,1,2,1,2,2,1,1,2,3,4,38
229,3,4,4,4,4,3,4,3,4,2,4,4,1,4,1,1,4,4,2,4,64
230,1,1,4,1,3,3,1,3,2,2,3,4,1,1,3,2,2,2,2,2,43
231,3,3,4,4,4,4,3,3,4,3,3,2,2,4,3,2,4,4,4,4,67
232,2,2,3,3,3,2,1,2,3,2,3,2,2,3,2,2,2,2,3,2,46
233,3,2,1,3,2,2,2,2,3,1,2,2,2,3,2,1,2,2,2,2,41
234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
235,2,2,4,1,4,4,4,4,2,3,4,1,3,3,1,2,4,4,1,2,55
236,2,2,1,2,2,1,1,2,2,1,3,1,1,1,1,1,2,2,2,3,33
237,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,59
238,1,2,2,2,1,2,1,2,2,2,1,2,3,1,1,1,2,2,2,3,35
239,4,3,4,4,4,4,4,4,4,4,4,3,2,4,4,2,4,4,4,4,74
240,3,3,4,4,4,4,4,4,3,3,4,4,4,4,3,4,3,4,3,4,73
241,4,4,4,4,4,4,4,4,4,3,4,2,4,4,1,2,4,4,3,4,71
242,1,3,1,2,2,3,1,3,3,1,2,4,1,4,4,1,2,2,4,3,47
243,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,1,1,2,4,28
244,2,4,4,4,2,4,4,2,4,1,2,1,3,4,1,3,4,4,2,4,59
245,2,1,2,3,2,2,2,3,1,2,2,1,3,2,1,3,2,2,2,2,40
246,2,3,4,2,4,4,3,3,2,3,2,3,3,3,2,2,4,3,3,4,59
247,2,1,1,3,2,4,3,1,2,2,3,4,3,2,4,1,2,1,3,3,47
248,1,3,2,4,2,1,1,1,1,2,1,2,4,1,2,3,1,4,1,2,39
249,3,4,4,2,3,4,3,2,3,3,4,2,3,4,3,1,4,4,3,3,62
250,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,78
251,1,1,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,2,29
252,2,4,3,3,4,4,4,4,3,3,3,2,3,4,1,2,4,3,3,4,63
253,4,2,2,4,2,1,3,2,2,4,3,3,3,2,1,2,4,3,4,2,53
254,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,25
255,1,3,4,2,1,4,4,2,4,3,2,4,4,2,4,4,2,3,4,3,60
256,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,62
257,3,3,3,4,3,4,4,3,3,2,3,1,3,4,1,3,4,4,2,4,61
258,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,26
259,1,2,1,2,2,2,2,2,1,3,1,1,2,1,2,2,2,1,3,2,35
260,2,2,1,2,1,2,2,1,3,1,1,4,3,2,2,3,1,2,3,1,39
261,2,3,4,3,3,3,3,2,2,2,3,3,3,4,2,4,3,4,3,1,57
262,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,77
263,1,2,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,2,2,27
264,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40
265,1,3,2,4,2,3,1,2,2,4,2,3,2,2,2,4,2,1,2,4,48
266,1,3,2,1,4,1,1,4,2,3,1,2,3,2,3,2,1,1,1,4,42
267,2,2,2,3,3,1,2,1,3,3,2,1,3,2,1,3,3,1,4,3,45
268,4,2,2,2,2,3,2,4,1,3,2,1,3,2,3,2,3,2,1,4,48
269,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,21
270,2,3,1,3,3,3,3,3,3,3,2,1,2,3,3,3,2,3,3,2,51
271,3,3,4,3,4,4,3,3,3,3,3,4,2,3,4,2,4,4,2,4,65
272,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,76
273,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,24
274,3,3,4,2,4,4,4,3,2,4,4,4,2,4,4,1,4,4,3,4,67
275,4,3,2,4,3,4,1,3,4,3,4,3,4,2,2,2,3,2,3,4,60
276,3,1,2,3,4,2,2,3,3,3,3,2,2,2,3,1,2,3,2,3,49
277,3,3,3,3,2,2,1,3,2,2,3,3,3,2,2,2,2,2,3,4,50
278,4,3,2,2,2,1,3,2,2,2,4,1,3,3,2,3,4,3,3,3,52
279,2,1,1,2,1,2,1,3,1,1,2,2,2,1,2,2,1,1,2,3,33
280,3,3,4,3,3,4,4,2,2,2,2,3,1,4,4,1,3,4,2,2,56
281,1,2,1,2,1,3,1,1,2,2,1,2,3,1,1,2,2,1,4,2,35
282,4,4,3,4,4,4,4,4,4,2,3,3,4,4,2,4,4,3,2,4,70
283,2,2,2,2,3,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2,33
284,1,3,2,1,4,1,1,2,1,2,3,2,2,1,2,1,3,2,1,3,38
285,2,2,3,1,2,2,2,3,1,3,2,2,2,2,1,1,2,3,2,2,40
286,3,2,4,2,3,4,4,3,1,3,2,3,2,4,2,1,4,4,3,2,56
287,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,26
288,4,3,4,4,4,4,3,4,3,1,4,4,2,4,4,1,3,4,3,3,66
289,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,79
290,2,4,1,1,2,1,1,2,2,3,2,3,3,1,2,3,1,1,4,4,43
291,2,4,2,3,3,1,2,3,3,1,4,1,3,2,3,3,2,3,1,3,49
292,2,4,2,3,3,3,2,3,3,3,3,4,3,3,2,3,2,2,4,3,57
293,2,3,3,2,2,2,2,3,2,2,2,1,1,2,1,1,3,2,1,2,39
294,1,1,1,2,1,1,1,1,1,2,1,3,1,2,3,1,1,1,2,2,29
295,2,2,2,2,2,2,2,3,2,2,2,4,2,2,3,1,3,2,3,2,45
296,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80
297,4,4,2,2,2,2,3,3,2,3,4,2,3,2,2,3,4,3,3,3,56
298,2,3,2,2,1,1,2,2,2,3,1,3,2,1,2,2,2,2,2,2,39
299,2,3,4,3,2,4,1,2,4,2,2,2,3,2,2,3,1,1,3,3,49
300,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,79
301,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,59
302,3,3,4,4,3,4,4,4,4,2,3,2,2,4,2,2,4,4,3,2,63
303,2,2,2,3,2,3,4,2,3,2,2,1,2,2,2,3,2,3,4,2,48
304,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,2,2,3,4,55
305,3,3,3,2,2,4,2,3,2,2,3,1,2,4,1,2,2,1,2,3,47
306,2,4,2,3,2,2,2,2,3,3,2,3,3,3,2,4,1,1,3,2,49
307,2,3,2,3,2,3,2,2,3,2,2,3,3,2,2,1,2,2,3,3,47
308,1,1,1,2,2,1,2,2,3,1,2,2,1,2,1,1,1,1,2,2,31
309,1,3,2,3,1,3,2,2,3,3,1,3,3,3,3,3,2,3,3,1,48
310,1,2,1,2,2,1,2,1,3,1,1,2,1,1,3,1,2,3,2,3,35
311,1,2,1,3,1,2,4,1,2,4,1,1,3,1,2,3,4,4,1,3,44
312,3,4,3,3,4,3,3,3,3,1,4,4,2,3,4,2,3,3,3,4,62
